image_path,question,answer
Albedo/07868437.jpg,Who do you see in this image?,"One of the most famous names, Albedo, appears here."
Albedo/07869115.jpg,Any idea who this might be?,Albedo is known for their unique style.
Albedo/07869980.jpg,What’s the real identity of this masked character?,"A remarkable figure, Albedo, is easily spotted."
Albedo/07870596.jpg,This is a mystery. Can you solve it?,"An unforgettable presence in the series, Albedo."
Albedo/07871127.jpg,Who is portrayed in this image?,You’ve likely seen Albedo before somewhere.
Albedo/07871652.jpg,Name this character.,You might recognize Albedo from their signature look.
Albedo/07872108.jpg,What character is this?,This frame features the beloved Albedo.
Albedo/07872545.jpg,This hero saves lives. What’s their name?,You probably guessed it right—it’s Albedo.
Albedo/07872985.jpg,Who does this image represent?,"An unforgettable presence in the series, Albedo."
Albedo/07873406.jpg,Who is portrayed in this image?,"A widely recognized character, Albedo."
Albedo/07873841.jpg,Can you identify this person from just the image?,The costume makes it obvious—this is Albedo.
Albedo/07874294.jpg,Which legendary warrior is this?,Spotting Albedo in this scene should be easy.
Albedo/07874823.jpg,This character wields a powerful weapon. Name them.,Everyone in the fandom recognizes Albedo.
Albedo/07875456.jpg,What’s the full name of this character?,Albedo has one of the most memorable faces.
Albedo/07875936.jpg,What’s this character’s background story?,Albedo is a name heard all over the fandom.
Albedo/07876390.jpg,Is this character familiar? Name them.,This character stands out—it’s Albedo.
Albedo/07876802.jpg,Identify this character.,"One of the most famous names, Albedo, appears here."
Albedo/07877183.jpg,Which hero/villain is depicted here?,It would be surprising if someone didn’t know Albedo.
Albedo/07877638.jpg,Which fantasy character is shown here?,Most fans would immediately say this is Albedo.
Albedo/07878176.jpg,This image features a well-known character. Who is it?,Look closely—Albedo is present in this image.
Albedo/07878662.jpg,Name this character.,"A fan favorite, Albedo, is shown in this picture."
Albedo/07879245.jpg,Who do you see in this image?,This frame features the beloved Albedo.
Albedo/07879801.jpg,This character wields a powerful weapon. Name them.,"A well-established figure in the story, Albedo."
Albedo/07880261.jpg,What’s the real identity of this masked character?,"One of the most famous names, Albedo, appears here."
Albedo/07880641.jpg,A recognizable character. Who is it?,Every series has an iconic character—this one is Albedo.
Albedo/07881069.jpg,What’s the title of this character?,Think carefully. You’ve seen Albedo before.
Albedo/07881493.jpg,Who is the main character in this scene?,Albedo has been a fan favorite for years now.
Albedo/07881891.jpg,What’s the identity of this anime character?,Many would agree that this looks like Albedo.
Albedo/07882271.jpg,What’s the nickname of this figure?,Albedo has one of the most memorable faces.
Albedo/07882658.jpg,What’s the role of this character?,The artistic design gives away Albedo instantly.
Albedo/07883023.jpg,You may have seen this character before. What’s their name?,Fans will instantly know this is Albedo.
Albedo/07883479.jpg,This character is quite popular. Can you name them?,You probably guessed it right—it’s Albedo.
Albedo/07883886.jpg,This is an image of which character?,"A striking character, Albedo, is in the spotlight here."
Albedo/07884406.jpg,What is the name of the character in this picture?,The world of fiction wouldn’t be the same without Albedo.
Albedo/07885036.jpg,Who is the protagonist shown here?,Fans of the genre all know Albedo well.
Albedo/07885529.jpg,This character plays an important role. What’s their name?,Albedo is a name that every fan would know.
Albedo/07885984.jpg,This character wields a powerful weapon. Name them.,"A widely recognized character, Albedo."
Albedo/07886427.jpg,Which character is shown?,The artistic design gives away Albedo instantly.
Albedo/07886821.jpg,What’s this character’s background story?,This moment is a classic one for Albedo.
Albedo/07887237.jpg,A recognizable character. Who is it?,The identity of this character is clear—it’s Albedo.
Albedo/07887666.jpg,This character is from which series?,"A strong presence in the story, Albedo, is unforgettable."
Albedo/07888085.jpg,Guess the character.,Albedo is a major part of their storyline.
Albedo/07888448.jpg,Can you recognize this character?,Who else could this be but Albedo?
Albedo/07888869.jpg,This is an image of which character?,Many people look up to Albedo as a character.
Albedo/07889261.jpg,Which fantasy character is shown here?,There’s something unforgettable about Albedo.
Albedo/07889662.jpg,You’ve seen this face before. Who is it?,Think carefully. You’ve seen Albedo before.
Albedo/07890114.jpg,Which figure is this?,The story wouldn’t be the same without Albedo.
Albedo/07890993.jpg,Try to name this character.,Fans of the genre all know Albedo well.
Albedo/07891522.jpg,What’s the identity of this anime character?,Many fans admire Albedo for their personality.
Albedo/07892060.jpg,Can you recognize this character?,A fantastic representation of Albedo in this frame.
Albedo/07892596.jpg,Identify this character.,There’s something unforgettable about Albedo.
Albedo/07893146.jpg,Which fantasy character is shown here?,Even casual viewers would know Albedo.
Albedo/07893533.jpg,This is a powerful character. Who is it?,A true fan would instantly say Albedo.
Albedo/07893948.jpg,Can you identify this person from just the image?,Seeing Albedo here is a nostalgic moment.
Albedo/07894330.jpg,Which figure is this?,You’d immediately associate this image with Albedo.
Albedo/07894666.jpg,You’ve seen this face before. Who is it?,"For many, Albedo is an all-time favorite."
Albedo/07895107.jpg,What’s the nickname of this figure?,Albedo has been a fan favorite for years now.
Albedo/07895468.jpg,Which animated figure is this?,This is none other than the incredible Albedo.
Albedo/07895818.jpg,Give me the name of this character.,Most fans would immediately say this is Albedo.
Albedo/07896244.jpg,This character plays an important role. What’s their name?,"You might already be thinking of Albedo, and you’d be right."
Albedo/07896617.jpg,Any idea who this might be?,Albedo plays an important role in their story.
Albedo/07896982.jpg,Who is the champion in this artwork?,"In this scene, we are looking at Albedo."
Albedo/07897420.jpg,Can you recall this character’s name?,"A key player in the story, Albedo, appears here."
Albedo/07897881.jpg,You’ve seen this face before. Who is it?,A memorable moment featuring Albedo.
Albedo/07898333.jpg,Who is the champion in this artwork?,This moment is a classic one for Albedo.
Albedo/07898776.jpg,This is a famous character. Who is it?,Every series has an iconic character—this one is Albedo.
Albedo/07899254.jpg,Do you know this character?,Albedo is a major part of their storyline.
Albedo/07899862.jpg,Can you identify this person from just the image?,Can you believe how iconic Albedo is?
Albedo/07900452.jpg,Which anime/game does this character belong to?,"If you’ve seen the show, you must know Albedo."
Albedo/07900924.jpg,Can you identify this person from just the image?,"A widely recognized character, Albedo."
Albedo/07901324.jpg,What’s the name of this villain?,This is a well-documented moment of Albedo.
Albedo/07901757.jpg,Is this a hero or a villain? What’s their name?,"For many, Albedo is an all-time favorite."
Albedo/07902195.jpg,What’s the legendary name of this character?,It’s quite obvious that this is Albedo.
Albedo/07902590.jpg,What character is this?,"You might already be thinking of Albedo, and you’d be right."
Albedo/07902949.jpg,Who is the protagonist shown here?,Seeing Albedo here is a nostalgic moment.
Albedo/07903339.jpg,Can you tell who this is?,This is one of the best shots of Albedo.
Albedo/07903752.jpg,This is a mystery. Can you solve it?,A fantastic representation of Albedo in this frame.
Albedo/07904156.jpg,Guess the character.,Spotting Albedo in this scene should be easy.
Albedo/07904654.jpg,Which famous character do you see?,"No doubt, fans will recognize Albedo here."
Albedo/07905121.jpg,This image features a well-known character. Who is it?,"A striking character, Albedo, is in the spotlight here."
Albedo/07905631.jpg,Who is this anime/game legend?,"A symbol of their universe, Albedo, is seen here."
Albedo/07906169.jpg,Who does this image represent?,Think carefully. You’ve seen Albedo before.
Albedo/07906606.jpg,This is a legendary character. Who are they?,A memorable moment featuring Albedo.
Albedo/07907032.jpg,This image features a well-known character. Who is it?,This scene captures Albedo perfectly.
Albedo/07907492.jpg,Try to name this character.,Albedo is the character shown in this image.
Albedo/07907895.jpg,What’s the legendary name of this character?,It’s not difficult to see that this is Albedo.
Albedo/07908249.jpg,Who is portrayed in this image?,Albedo is instantly recognizable in this outfit.
Albedo/07908630.jpg,What is this character called?,Fans of the genre all know Albedo well.
Albedo/07909051.jpg,What’s the nickname of this figure?,The world of fiction wouldn’t be the same without Albedo.
Albedo/07909475.jpg,This hero saves lives. What’s their name?,"This character, Albedo, is well-known in their universe."
Albedo/07909851.jpg,You’ve seen this face before. Who is it?,You’d immediately associate this image with Albedo.
Albedo/07910231.jpg,What character is this?,"In this scene, we are looking at Albedo."
Albedo/07910590.jpg,Who is the champion in this artwork?,You’ve likely seen Albedo before somewhere.
Albedo/07910967.jpg,Can you recall this character’s name?,The character seen here is certainly Albedo.
Albedo/07911444.jpg,Which famous figure is shown here?,The artistic design gives away Albedo instantly.
Albedo/07911983.jpg,This image features a well-known character. Who is it?,"A fan favorite, Albedo, is shown in this picture."
Albedo/07912447.jpg,Do you know this character?,"A legendary hero/villain, Albedo, is shown here."
Albedo/07912956.jpg,This character is quite popular. Can you name them?,What a great shot of Albedo in this scene.
Albedo/07913409.jpg,This character wields a powerful weapon. Name them.,"A strong presence in the story, Albedo, is unforgettable."
Albedo/07913796.jpg,The image contains which character?,"A legendary figure in the fandom, Albedo is iconic."
Albedo/07914249.jpg,Who is the champion in this artwork?,You’d immediately associate this image with Albedo.
Alhaitham/07914862.jpg,Which figure is this?,The world of fiction wouldn’t be the same without Alhaitham.
Alhaitham/07915284.jpg,Who is this fighter?,Alhaitham is a name that every fan would know.
Alhaitham/07915678.jpg,What’s the identity of this anime character?,"A fan favorite, Alhaitham, is shown in this picture."
Alhaitham/07915994.jpg,Tell me the name of this character.,The artistic design gives away Alhaitham instantly.
Alhaitham/07916326.jpg,Which famous figure is shown here?,Alhaitham has one of the most memorable faces.
Alhaitham/07916653.jpg,Which legendary warrior is this?,Not hard to tell—this is clearly Alhaitham.
Alhaitham/07917054.jpg,You may have seen this character before. What’s their name?,The name you're searching for is indeed Alhaitham.
Alhaitham/07917452.jpg,Who is this iconic figure?,A true fan would instantly say Alhaitham.
Alhaitham/07917807.jpg,Any idea who this might be?,Alhaitham has made quite an impact on fans.
Alhaitham/07918196.jpg,This character wields a powerful weapon. Name them.,It’s safe to say that this is Alhaitham.
Alhaitham/07918658.jpg,Can you recognize this character?,Think carefully. You’ve seen Alhaitham before.
Alhaitham/07919202.jpg,Who is this fighter?,What a great shot of Alhaitham in this scene.
Alhaitham/07919827.jpg,Give me the name of this character.,Not hard to tell—this is clearly Alhaitham.
Alhaitham/07920620.jpg,Do you know this character?,This moment is a classic one for Alhaitham.
Alhaitham/07921203.jpg,Who is the protagonist shown here?,Alhaitham is a major part of their storyline.
Alhaitham/07921680.jpg,Any idea who this might be?,It’s not difficult to see that this is Alhaitham.
Alhaitham/07922079.jpg,What’s the legendary name of this character?,It’s quite obvious that this is Alhaitham.
Alhaitham/07922441.jpg,Who is this fighter?,It would be surprising if someone didn’t know Alhaitham.
Alhaitham/07922824.jpg,Name this character.,The identity of this character is clear—it’s Alhaitham.
Alhaitham/07923219.jpg,What is the name of the character in this picture?,Look closely—Alhaitham is present in this image.
Alhaitham/07923645.jpg,Which figure is this?,Fans will instantly know this is Alhaitham.
Alhaitham/07924117.jpg,What’s the name of this villain?,Alhaitham always stands out with their presence.
Alhaitham/07924543.jpg,Do you know this character?,Look at the details—this must be Alhaitham.
Alhaitham/07924965.jpg,Who is this fighter?,This frame features the beloved Alhaitham.
Alhaitham/07925597.jpg,The image contains which character?,A memorable moment featuring Alhaitham.
Alhaitham/07926115.jpg,This character is from which series?,Everyone in the fandom recognizes Alhaitham.
Alhaitham/07926768.jpg,Which fictional character is this?,"This famous character, Alhaitham, is instantly recognizable."
Alhaitham/07927433.jpg,Can you recall this character’s name?,"Without a doubt, Alhaitham is recognized everywhere."
Alhaitham/07927914.jpg,Which anime/game does this character belong to?,The identity of this character is clear—it’s Alhaitham.
Alhaitham/07928377.jpg,Which hero/villain is depicted here?,How could anyone forget Alhaitham?
Alhaitham/07928772.jpg,Which animated figure is this?,Can you believe how iconic Alhaitham is?
Alhaitham/07929147.jpg,What’s the name of this hero?,A memorable moment featuring Alhaitham.
Alhaitham/07929500.jpg,This image features a well-known character. Who is it?,"This character, Alhaitham, is crucial to the plot."
Alhaitham/07929995.jpg,Who is the champion in this artwork?,Look at the details—this must be Alhaitham.
Alhaitham/07930422.jpg,A recognizable character. Who is it?,"Without a doubt, Alhaitham is recognized everywhere."
Alhaitham/07930807.jpg,What’s the name of this hero?,The costume makes it obvious—this is Alhaitham.
Alhaitham/07931231.jpg,Can you recognize the character in this artwork?,The character seen here is certainly Alhaitham.
Alhaitham/07931621.jpg,Is this a hero or a villain? What’s their name?,Alhaitham has one of the most memorable faces.
Alhaitham/07931996.jpg,Which fantasy character is shown here?,The costume makes it obvious—this is Alhaitham.
Alhaitham/07932432.jpg,Try to name this character.,"If you’ve seen the show, you must know Alhaitham."
Alhaitham/07932888.jpg,What’s the full name of this character?,Alhaitham has made quite an impact on fans.
Alhaitham/07933376.jpg,Is this character familiar? Name them.,This is none other than the incredible Alhaitham.
Alhaitham/07933903.jpg,Which game character is this?,Look closely—Alhaitham is present in this image.
Alhaitham/07934445.jpg,What’s the special ability of this character?,How could anyone forget Alhaitham?
Alhaitham/07934987.jpg,This is a powerful character. Who is it?,There’s no mistaking the look of Alhaitham.
Alhaitham/07935425.jpg,Who is this iconic figure?,Characters like Alhaitham leave a lasting impression.
Alhaitham/07935817.jpg,Is this a hero or a villain? What’s their name?,You might recognize Alhaitham from their signature look.
Alhaitham/07936243.jpg,Do you know this character?,"This famous character, Alhaitham, is instantly recognizable."
Alhaitham/07936613.jpg,Can you recognize the character in this artwork?,"A key player in the story, Alhaitham, appears here."
Alhaitham/07936991.jpg,Look at this image. Who is it?,This frame features the beloved Alhaitham.
Alhaitham/07937353.jpg,Who is the main character in this scene?,This scene captures Alhaitham perfectly.
